<bos><|turn>system
Follow the user's output format exactly. Do not include an explanation unless requested.<turn|>
<|turn>user
Read this registry. Only the record named TARGET-ORCHID is relevant.
Record R0000: depot=harbor-0; parcel=100000; status=stored.
Record R0197: depot=harbor-11; parcel=126989; status=stored.
Record R0198: depot=harbor-12; parcel=127126; status=stored.
Record R0199: depot=harbor-13; parcel=127263; status=stored.
Record R0200: depot=harbor-14; parcel=127400; status=stored.
Record R0201: depot=harbor-15; parcel=127537; status=stored.
Record R0202: depot=harbor-16; parcel=127674; status=stored.
Record R0203: depot=harbor-17; parcel=127811; status=stored.
Record R0204: depot=harbor-18; parcel=127948; status=stored.
Record R0205: depot=harbor-19; parcel=128085; status=stored.
Record R0206: depot=harbor-20; parcel=128222; status=stored.
Record R0207: depot=harbor-21; parcel=128359; status=stored.
Record R0208: depot=harbor-22; parcel=128496; status=stored.
Record R0209: depot=harbor-23; parcel=128633; status=stored.
Record R0210: depot=harbor-24; parcel=128770; status=stored.
Record R0211: depot=harbor-25; parcel=128907; status=stored.
Record R0212: depot=harbor-26; parcel=129044; status=stored.
Record R0213: depot=harbor-27; parcel=129181; status=stored.
Record R0214: depot=harbor-28; parcel=129318; status=stored.
Record R0215: depot=harbor-29; parcel=129455; status=stored.
Record R0216: depot=harbor-30; parcel=129592; status=stored.
Record R0217: depot=harbor-0; parcel=129729; status=stored.
Record R0218: depot=harbor-1; parcel=129866; status=stored.
Record R0219: depot=harbor-2; parcel=130003; status=stored.
Record R0220: depot=harbor-3; parcel=130140; status=stored.
Record R0221: depot=harbor-4; parcel=130277; status=stored.
Record R0222: depot=harbor-5; parcel=130414; status=stored.
Record R0223: depot=harbor-6; parcel=130551; status=stored.
Record R0224: depot=harbor-7; parcel=130688; status=stored.
Record R0225: depot=harbor-8; parcel=130825; status=stored.
Record R0226: depot=harbor-9; parcel=130962; status=stored.
Record R0227: depot=harbor-10; parcel=131099; status=stored.
Record R0228: depot=harbor-11; parcel=131236; status=stored.
Record R0229: depot=harbor-12; parcel=131373; status=stored.
Record R0230: depot=harbor-13; parcel=131510; status=stored.
Record R0231: depot=harbor-14; parcel=131647; status=stored.
Record R0232: depot=harbor-15; parcel=131784; status=stored.
Record R0233: depot=harbor-16; parcel=131921; status=stored.
Record R0234: depot=harbor-17; parcel=132058; status=stored.
Record R0235: depot=harbor-18; parcel=132195; status=stored.
Record R0236: depot=harbor-19; parcel=132332; status=stored.
Record R0237: depot=harbor-20; parcel=132469; status=stored.
Record R0238: depot=harbor-21; parcel=132606; status=stored.
Record R0239: depot=harbor-22; parcel=132743; status=stored.
Record R0240: depot=harbor-23; parcel=132880; status=stored.
Record R0241: depot=harbor-24; parcel=133017; status=stored.
Record R0242: depot=harbor-25; parcel=133154; status=stored.
Record R0243: depot=harbor-26; parcel=133291; status=stored.
Record R0244: depot=harbor-27; parcel=133428; status=stored.
Record R0245: depot=harbor-28; parcel=133565; status=stored.
Record R0246: depot=harbor-29; parcel=133702; status=stored.
Record R0247: depot=harbor-30; parcel=133839; status=stored.
Record R0248: depot=harbor-0; parcel=133976; status=stored.
Record R0249: depot=harbor-1; parcel=134113; status=stored.
Record R0250: depot=harbor-2; parcel=134250; status=stored.
Record R0251: depot=harbor-3; parcel=134387; status=stored.
Record R0252: depot=harbor-4; parcel=134524; status=stored.
Record R0253: depot=harbor-5; parcel=134661; status=stored.
Record R0254: depot=harbor-6; parcel=134798; status=stored.
Record R0255: depot=harbor-7; parcel=134935; status=stored.
Record R0256: depot=harbor-8; parcel=135072; status=stored.
Record R0257: depot=harbor-9; parcel=135209; status=stored.
Record R0258: depot=harbor-10; parcel=135346; status=stored.
Record R0259: depot=harbor-11; parcel=135483; status=stored.
Record R0260: depot=harbor-12; parcel=135620; status=stored.
Record R0261: depot=harbor-13; parcel=135757; status=stored.
Record R0262: depot=harbor-14; parcel=135894; status=stored.
Record R0263: depot=harbor-15; parcel=136031; status=stored.
Record R0264: depot=harbor-16; parcel=136168; status=stored.
Record R0265: depot=harbor-17; parcel=136305; status=stored.
Record R0266: depot=harbor-18; parcel=136442; status=stored.
Record R0267: depot=harbor-19; parcel=136579; status=stored.
Record R0268: depot=harbor-20; parcel=136716; status=stored.
Record R0269: depot=harbor-21; parcel=136853; status=stored.
Record R0270: depot=harbor-22; parcel=136990; status=stored.
Record R0271: depot=harbor-23; parcel=137127; status=stored.
Record R0272: depot=harbor-24; parcel=137264; status=stored.
Record R0273: depot=harbor-25; parcel=137401; status=stored.
Record R0274: depot=harbor-26; parcel=137538; status=stored.
Record R0275: depot=harbor-27; parcel=137675; status=stored.
Record R0276: depot=harbor-28; parcel=137812; status=stored.
Record R0277: depot=harbor-29; parcel=137949; status=stored.
Record R0278: depot=harbor-30; parcel=138086; status=stored.
Record R0279: depot=harbor-0; parcel=138223; status=stored.
Record R0280: depot=harbor-1; parcel=138360; status=stored.
Record R0281: depot=harbor-2; parcel=138497; status=stored.
Record R0282: depot=harbor-3; parcel=138634; status=stored.
Record R0283: depot=harbor-4; parcel=138771; status=stored.
Record R0284: depot=harbor-5; parcel=138908; status=stored.
Record R0285: depot=harbor-6; parcel=139045; status=stored.
Record TARGET-ORCHID: depot=cedar; parcel=742915; status=reserved.
Record R0286: depot=harbor-7; parcel=139182; status=stored.
Record R0287: depot=harbor-8; parcel=139319; status=stored.
Record R0288: depot=harbor-9; parcel=139456; status=stored.
Record R0289: depot=harbor-10; parcel=139593; status=stored.
Record R0290: depot=harbor-11; parcel=139730; status=stored.
Record R0291: depot=harbor-12; parcel=139867; status=stored.
Record R0292: depot=harbor-13; parcel=140004; status=stored.
Record R0293: depot=harbor-14; parcel=140141; status=stored.
Record R0294: depot=harbor-15; parcel=140278; status=stored.
Record R0295: depot=harbor-16; parcel=140415; status=stored.
Record R0296: depot=harbor-17; parcel=140552; status=stored.
Record R0297: depot=harbor-18; parcel=140689; status=stored.
Record R0298: depot=harbor-19; parcel=140826; status=stored.
Record R0299: depot=harbor-20; parcel=140963; status=stored.
Record R0300: depot=harbor-21; parcel=141100; status=stored.
Record R0301: depot=harbor-22; parcel=141237; status=stored.
Record R0302: depot=harbor-23; parcel=141374; status=stored.
Record R0303: depot=harbor-24; parcel=141511; status=stored.
Record R0304: depot=harbor-25; parcel=141648; status=stored.
Record R0305: depot=harbor-26; parcel=141785; status=stored.
Record R0306: depot=harbor-27; parcel=141922; status=stored.
Record R0307: depot=harbor-28; parcel=142059; status=stored.
Record R0308: depot=harbor-29; parcel=142196; status=stored.
Record R0309: depot=harbor-30; parcel=142333; status=stored.
Record R0310: depot=harbor-0; parcel=142470; status=stored.
Record R0311: depot=harbor-1; parcel=142607; status=stored.
Record R0312: depot=harbor-2; parcel=142744; status=stored.
Record R0313: depot=harbor-3; parcel=142881; status=stored.
Record R0314: depot=harbor-4; parcel=143018; status=stored.
Record R0315: depot=harbor-5; parcel=143155; status=stored.
Record R0316: depot=harbor-6; parcel=143292; status=stored.
Record R0317: depot=harbor-7; parcel=143429; status=stored.
Record R0318: depot=harbor-8; parcel=143566; status=stored.
Record R0319: depot=harbor-9; parcel=143703; status=stored.
Record R0320: depot=harbor-10; parcel=143840; status=stored.
Record R0321: depot=harbor-11; parcel=143977; status=stored.
Record R0322: depot=harbor-12; parcel=144114; status=stored.
Record R0323: depot=harbor-13; parcel=144251; status=stored.
Record R0324: depot=harbor-14; parcel=144388; status=stored.
Record R0325: depot=harbor-15; parcel=144525; status=stored.
Record R0326: depot=harbor-16; parcel=144662; status=stored.
Record R0327: depot=harbor-17; parcel=144799; status=stored.
Record R0328: depot=harbor-18; parcel=144936; status=stored.
Record R0329: depot=harbor-19; parcel=145073; status=stored.
Record R0330: depot=harbor-20; parcel=145210; status=stored.
Record R0331: depot=harbor-21; parcel=145347; status=stored.
Record R0332: depot=harbor-22; parcel=145484; status=stored.
Record R0333: depot=harbor-23; parcel=145621; status=stored.
Record R0334: depot=harbor-24; parcel=145758; status=stored.
Record R0335: depot=harbor-25; parcel=145895; status=stored.
Record R0336: depot=harbor-26; parcel=146032; status=stored.
Record R0337: depot=harbor-27; parcel=146169; status=stored.
Record R0338: depot=harbor-28; parcel=146306; status=stored.
Record R0339: depot=harbor-29; parcel=146443; status=stored.
Record R0340: depot=harbor-30; parcel=146580; status=stored.
Record R0341: depot=harbor-0; parcel=146717; status=stored.
Record R0342: depot=harbor-1; parcel=146854; status=stored.
Record R0343: depot=harbor-2; parcel=146991; status=stored.
Record R0344: depot=harbor-3; parcel=147128; status=stored.
Record R0345: depot=harbor-4; parcel=147265; status=stored.
Record R0346: depot=harbor-5; parcel=147402; status=stored.
Record R0347: depot=harbor-6; parcel=147539; status=stored.
Record R0348: depot=harbor-7; parcel=147676; status=stored.
Record R0349: depot=harbor-8; parcel=147813; status=stored.
Record R0350: depot=harbor-9; parcel=147950; status=stored.
Record R0351: depot=harbor-10; parcel=148087; status=stored.
Record R0352: depot=harbor-11; parcel=148224; status=stored.
Record R0353: depot=harbor-12; parcel=148361; status=stored.
Record R0354: depot=harbor-13; parcel=148498; status=stored.
Record R0355: depot=harbor-14; parcel=148635; status=stored.
Record R0356: depot=harbor-15; parcel=148772; status=stored.
Record R0357: depot=harbor-16; parcel=148909; status=stored.
Record R0358: depot=harbor-17; parcel=149046; status=stored.
Record R0359: depot=harbor-18; parcel=149183; status=stored.
Record R0360: depot=harbor-19; parcel=149320; status=stored.
Record R0361: depot=harbor-20; parcel=149457; status=stored.
Record R0362: depot=harbor-21; parcel=149594; status=stored.
Record R0363: depot=harbor-22; parcel=149731; status=stored.
Record R0364: depot=harbor-23; parcel=149868; status=stored.
Record R0365: depot=harbor-24; parcel=150005; status=stored.
Record R0366: depot=harbor-25; parcel=150142; status=stored.
Record R0367: depot=harbor-26; parcel=150279; status=stored.
Record R0368: depot=harbor-27; parcel=150416; status=stored.
Record R0369: depot=harbor-28; parcel=150553; status=stored.
Record R0370: depot=harbor-29; parcel=150690; status=stored.
Record R0371: depot=harbor-30; parcel=150827; status=stored.
Record R0372: depot=harbor-0; parcel=150964; status=stored.
Record R0373: depot=harbor-1; parcel=151101; status=stored.
Record R0374: depot=harbor-2; parcel=151238; status=stored.
Record R0375: depot=harbor-3; parcel=151375; status=stored.
Record R0376: depot=harbor-4; parcel=151512; status=stored.
Record R0377: depot=harbor-5; parcel=151649; status=stored.
Record R0378: depot=harbor-6; parcel=151786; status=stored.
Record R0379: depot=harbor-7; parcel=151923; status=stored.
Record R0380: depot=harbor-8; parcel=152060; status=stored.
Record R0381: depot=harbor-9; parcel=152197; status=stored.
Record R0382: depot=harbor-10; parcel=152334; status=stored.
Record R0383: depot=harbor-11; parcel=152471; status=stored.
Record R0384: depot=harbor-12; parcel=152608; status=stored.
Record R0385: depot=harbor-13; parcel=152745; status=stored.
Record R0386: depot=harbor-14; parcel=152882; status=stored.
Record R0387: depot=harbor-15; parcel=153019; status=stored.
Record R0388: depot=harbor-16; parcel=153156; status=stored.
Record R0389: depot=harbor-17; parcel=153293; status=stored.
Record R0390: depot=harbor-18; parcel=153430; status=stored.
Record R0391: depot=harbor-19; parcel=153567; status=stored.
Record R0392: depot=harbor-20; parcel=153704; status=stored.
Record R0393: depot=harbor-21; parcel=153841; status=stored.
Record R0394: depot=harbor-22; parcel=153978; status=stored.
Record R0395: depot=harbor-23; parcel=154115; status=stored.
Record R0396: depot=harbor-24; parcel=154252; status=stored.
Record R0397: depot=harbor-25; parcel=154389; status=stored.
Record R0398: depot=harbor-26; parcel=154526; status=stored.
Record R0399: depot=harbor-27; parcel=154663; status=stored.
Record R0400: depot=harbor-28; parcel=154800; status=stored.
Record R0401: depot=harbor-29; parcel=154937; status=stored.
Record R0402: depot=harbor-30; parcel=155074; status=stored.
Record R0403: depot=harbor-0; parcel=155211; status=stored.
Record R0404: depot=harbor-1; parcel=155348; status=stored.
Record R0405: depot=harbor-2; parcel=155485; status=stored.
Record R0406: depot=harbor-3; parcel=155622; status=stored.
Record R0407: depot=harbor-4; parcel=155759; status=stored.
Record R0408: depot=harbor-5; parcel=155896; status=stored.
Record R0409: depot=harbor-6; parcel=156033; status=stored.
Record R0410: depot=harbor-7; parcel=156170; status=stored.
Record R0411: depot=harbor-8; parcel=156307; status=stored.
Record R0412: depot=harbor-9; parcel=156444; status=stored.
Record R0413: depot=harbor-10; parcel=156581; status=stored.
Record R0414: depot=harbor-11; parcel=156718; status=stored.
Record R0415: depot=harbor-12; parcel=156855; status=stored.
Record R0416: depot=harbor-13; parcel=156992; status=stored.
Record R0417: depot=harbor-14; parcel=157129; status=stored.
Record R0418: depot=harbor-15; parcel=157266; status=stored.
Record R0419: depot=harbor-16; parcel=157403; status=stored.
Record R0420: depot=harbor-17; parcel=157540; status=stored.
Record R0421: depot=harbor-18; parcel=157677; status=stored.
Record R0422: depot=harbor-19; parcel=157814; status=stored.
Record R0423: depot=harbor-20; parcel=157951; status=stored.
Record R0424: depot=harbor-21; parcel=158088; status=stored.
Record R0425: depot=harbor-22; parcel=158225; status=stored.
Record R0426: depot=harbor-23; parcel=158362; status=stored.
Record R0427: depot=harbor-24; parcel=158499; status=stored.
Record R0428: depot=harbor-25; parcel=158636; status=stored.
Record R0429: depot=harbor-26; parcel=158773; status=stored.
Record R0430: depot=harbor-27; parcel=158910; status=stored.
Record R0431: depot=harbor-28; parcel=159047; status=stored.
Record R0432: depot=harbor-29; parcel=159184; status=stored.
Record R0433: depot=harbor-30; parcel=159321; status=stored.
Record R0434: depot=harbor-0; parcel=159458; status=stored.
Record R0435: depot=harbor-1; parcel=159595; status=stored.
Record R0436: depot=harbor-2; parcel=159732; status=stored.
Record R0437: depot=harbor-3; parcel=159869; status=stored.
Record R0438: depot=harbor-4; parcel=160006; status=stored.
Record R0439: depot=harbor-5; parcel=160143; status=stored.
Record R0440: depot=harbor-6; parcel=160280; status=stored.
Record R0441: depot=harbor-7; parcel=160417; status=stored.
Record R0442: depot=harbor-8; parcel=160554; status=stored.
Record R0443: depot=harbor-9; parcel=160691; status=stored.
Record R0444: depot=harbor-10; parcel=160828; status=stored.
Record R0445: depot=harbor-11; parcel=160965; status=stored.
Record R0446: depot=harbor-12; parcel=161102; status=stored.
Record R0447: depot=harbor-13; parcel=161239; status=stored.
Record R0448: depot=harbor-14; parcel=161376; status=stored.
Record R0449: depot=harbor-15; parcel=161513; status=stored.
Record R0450: depot=harbor-16; parcel=161650; status=stored.
Record R0451: depot=harbor-17; parcel=161787; status=stored.
Record R0452: depot=harbor-18; parcel=161924; status=stored.
Record R0453: depot=harbor-19; parcel=162061; status=stored.
Record R0454: depot=harbor-20; parcel=162198; status=stored.
Record R0455: depot=harbor-21; parcel=162335; status=stored.
Record R0456: depot=harbor-22; parcel=162472; status=stored.
Record R0457: depot=harbor-23; parcel=162609; status=stored.
Record R0458: depot=harbor-24; parcel=162746; status=stored.
Record R0459: depot=harbor-25; parcel=162883; status=stored.
Record R0460: depot=harbor-26; parcel=163020; status=stored.
Record R0461: depot=harbor-27; parcel=163157; status=stored.
Record R0462: depot=harbor-28; parcel=163294; status=stored.
Record R0463: depot=harbor-29; parcel=163431; status=stored.
Record R0464: depot=harbor-30; parcel=163568; status=stored.
Record R0465: depot=harbor-0; parcel=163705; status=stored.
Record R0466: depot=harbor-1; parcel=163842; status=stored.
Record R0467: depot=harbor-2; parcel=163979; status=stored.
Record R0468: depot=harbor-3; parcel=164116; status=stored.
Record R0469: depot=harbor-4; parcel=164253; status=stored.
Record R0470: depot=harbor-5; parcel=164390; status=stored.
Record R0471: depot=harbor-6; parcel=164527; status=stored.
Record R0472: depot=harbor-7; parcel=164664; status=stored.
Record R0473: depot=harbor-8; parcel=164801; status=stored.
Record R0474: depot=harbor-9; parcel=164938; status=stored.
Record R0475: depot=harbor-10; parcel=165075; status=stored.
Record R0476: depot=harbor-11; parcel=165212; status=stored.
Record R0477: depot=harbor-12; parcel=165349; status=stored.
Record R0478: depot=harbor-13; parcel=165486; status=stored.
Record R0479: depot=harbor-14; parcel=165623; status=stored.
Record R0480: depot=harbor-15; parcel=165760; status=stored.
Record R0481: depot=harbor-16; parcel=165897; status=stored.
Record R0482: depot=harbor-17; parcel=166034; status=stored.
Record R0483: depot=harbor-18; parcel=166171; status=stored.
Record R0484: depot=harbor-19; parcel=166308; status=stored.
Record R0485: depot=harbor-20; parcel=166445; status=stored.
Record R0486: depot=harbor-21; parcel=166582; status=stored.
Record R0487: depot=harbor-22; parcel=166719; status=stored.
Record R0488: depot=harbor-23; parcel=166856; status=stored.
Record R0489: depot=harbor-24; parcel=166993; status=stored.
Record R0490: depot=harbor-25; parcel=167130; status=stored.
Record R0491: depot=harbor-26; parcel=167267; status=stored.
