#candidate	tile_m	tile_n	tile_k	scope	scope_simdgroups	input_mode	metal_compile	metallib_link
mpp_m16_n64_k32_sg1_coop	16	64	32	execution_simdgroup	1	cooperative	fail	not-run
mpp_m16_n64_k32_sg1_tensor	16	64	32	execution_simdgroup	1	tensor	pass	pass
mpp_m16_n64_k32_sg2_coop	16	64	32	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m16_n64_k32_sg2_tensor	16	64	32	execution_simdgroups_2	2	tensor	pass	pass
mpp_m16_n64_k32_sg4_coop	16	64	32	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m16_n64_k32_sg4_tensor	16	64	32	execution_simdgroups_4	4	tensor	pass	pass
mpp_m32_n32_k16_sg1_coop	32	32	16	execution_simdgroup	1	cooperative	pass	pass
mpp_m32_n32_k16_sg1_tensor	32	32	16	execution_simdgroup	1	tensor	pass	pass
mpp_m32_n32_k16_sg2_coop	32	32	16	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m32_n32_k16_sg2_tensor	32	32	16	execution_simdgroups_2	2	tensor	pass	pass
mpp_m32_n32_k16_sg4_coop	32	32	16	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m32_n32_k16_sg4_tensor	32	32	16	execution_simdgroups_4	4	tensor	pass	pass
mpp_m32_n32_k32_sg1_coop	32	32	32	execution_simdgroup	1	cooperative	pass	pass
mpp_m32_n32_k32_sg1_tensor	32	32	32	execution_simdgroup	1	tensor	pass	pass
mpp_m32_n32_k32_sg2_coop	32	32	32	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m32_n32_k32_sg2_tensor	32	32	32	execution_simdgroups_2	2	tensor	pass	pass
mpp_m32_n32_k32_sg4_coop	32	32	32	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m32_n32_k32_sg4_tensor	32	32	32	execution_simdgroups_4	4	tensor	pass	pass
mpp_m64_n32_k16_sg1_coop	64	32	16	execution_simdgroup	1	cooperative	fail	not-run
mpp_m64_n32_k16_sg1_tensor	64	32	16	execution_simdgroup	1	tensor	pass	pass
mpp_m64_n32_k16_sg2_coop	64	32	16	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m64_n32_k16_sg2_tensor	64	32	16	execution_simdgroups_2	2	tensor	pass	pass
mpp_m64_n32_k16_sg4_coop	64	32	16	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m64_n32_k16_sg4_tensor	64	32	16	execution_simdgroups_4	4	tensor	pass	pass
mpp_m64_n32_k32_sg1_coop	64	32	32	execution_simdgroup	1	cooperative	fail	not-run
mpp_m64_n32_k32_sg1_tensor	64	32	32	execution_simdgroup	1	tensor	pass	pass
mpp_m64_n32_k32_sg2_coop	64	32	32	execution_simdgroups_2	2	cooperative	fail	not-run
mpp_m64_n32_k32_sg2_tensor	64	32	32	execution_simdgroups_2	2	tensor	pass	pass
mpp_m64_n32_k32_sg4_coop	64	32	32	execution_simdgroups_4	4	cooperative	fail	not-run
mpp_m64_n32_k32_sg4_tensor	64	32	32	execution_simdgroups_4	4	tensor	pass	pass
